id,housetitle,address,quxian,shangquan,sqpinyin,money,lng,lat,geocode_status,community_type,population,built_year,area_m2,supply,price_per_m2,res_building_dist_deg,res_building_dist_m,res_building_area_m2,res_building_type,pop_by_area,density_adj,population_est
29,星海名苑,深圳市南山区科苑路127号,南山,粤海,粤海,777,113.940267,22.520858,OK,commodity_housing,9709,2009,89602.98,1.542,86.8023545639538,0.0005656581471331,62.78805433178003,1948.7625024960705,commercial,5590,1.0,6125
30,金地邸,深圳市南山区科苑路26号,南山,粤海,粤海,784,113.910596,22.525177,OK,high_end,11096,2009,33662.13,1.709,232.92299653618616,0.0014754593217001,163.77598470871771,463.1161374103534,apartments,2100,0.7,1610
31,华润花园,深圳市南山区高新南七道98号,南山,粤海,粤海,1688,113.943953,22.505433,OK,high_end,9655,2010,59678.38,1.62,282.992572342599,0.0007943690168013,88.17496086494741,489.7468933117118,yes,3723,0.7,2855
32,中海雅园,深圳市南山区科苑路58号,南山,粤海,粤海,665,113.94845,22.537015,OK,commodity_housing,7146,2015,66559.8,1.684,100.05788764897991,0.0006162770934446,68.40675737235786,1549.8221207616568,commercial,4152,1.0,4549
33,万科豪庭,深圳市南山区深圳湾口岸116号,南山,粤海,粤海,528,113.936027,22.528199,OK,commodity_housing,6124,2015,47154.29,1.779,112.008561312961,0.0007028939501141,78.02122846266758,2097.6382237099097,commercial,2941,1.0,3222
34,招商公馆,深圳市南山区高新南一道145号,南山,粤海,粤海,432,113.918374,22.538354,OK,commodity_housing,10987,2008,33274.54,1.782,130.02165729259664,0.0006708037196787,74.45921288434396,5741.862416872308,yes,2075,1.0,2273
35,华侨城苑,深圳市南山区南海大道117号,南山,粤海,粤海,1079,113.925233,22.535207,OK,commodity_housing,4081,2011,111521.37,1.465,96.78511514101822,0.0002925921076292,32.477723946851725,784.494203842582,yes,6957,1.0,7623
36,花样年邸,深圳市南山区高新南一道86号,南山,粤海,粤海,790,113.925657,22.516953,OK,commodity_housing,3580,2018,81172.07,1.452,97.34116926508102,0.0001796327325284,19.9392333106597,361.98725177556565,apartments,5064,1.0,5549
37,佳兆业居,深圳市南山区深圳湾口岸23号,南山,粤海,粤海,1217,113.938237,22.528294,OK,high_end,9617,2013,69161.59,1.484,175.98028048650227,0.0001166484271273,12.947975411134555,3198.8239419923457,commercial,4314,0.7,3308
38,龙光家园,深圳市南山区南海大道69号,南山,粤海,粤海,669,113.960374,22.535904,OK,commodity_housing,5849,2012,46089.36,1.639,145.3405415655638,0.000203385901147,22.575835027320625,898.9726861657261,apartments,2875,1.0,3150
39,卓越名苑,深圳市南山区高新南七道33号,南山,粤海,粤海,1222,113.928049,22.512219,OK,commodity_housing,9303,2013,114023.02,1.545,107.17189483445654,0.0001082435794778,12.01503732203877,731.2379449007638,apartments,7113,1.0,7794
40,华联邸,深圳市南山区高新南七道29号,南山,粤海,粤海,1675,113.920245,22.531962,OK,high_end,8387,2014,58610.26,1.777,285.8025962934096,0.000264929849923,29.40721334145304,938.2491685838372,apartments,3656,0.7,2804
41,天悦花园,深圳市南山区高新南一道105号,南山,粤海,粤海,607,113.937558,22.529191,OK,commodity_housing,11967,2014,58539.66,1.609,103.8437198624968,0.0009629028834529,106.88222006327234,5936.6454748766455,commercial,3652,1.0,4001
42,龙瑞雅园,深圳市南山区高新南七道138号,南山,粤海,粤海,353,113.915605,22.528483,OK,commodity_housing,3412,2012,23918.63,1.967,147.73063860641733,0.0001726913793424,19.16874310701257,580.0126203838786,yes,1492,1.0,1634
43,阳光豪庭,深圳市南山区深圳湾口岸12号,南山,粤海,粤海,1260,113.920887,22.535363,OK,high_end,8073,2013,45001.64,1.548,280.06749108145834,0.0004774160324021,52.99317959664211,265.6982939126476,yes,2807,0.7,2152
44,翠湖公馆,深圳市南山区南海大道86号,南山,粤海,粤海,684,113.916034,22.537072,OK,high_end,5914,2014,30312.39,1.742,225.78785586717856,9.738214163369956e-05,10.809417721340653,716.546134195834,apartments,1891,0.7,1449
45,碧海苑,深圳市南山区深圳湾口岸69号,南山,粤海,粤海,1004,113.934175,22.530675,OK,commodity_housing,3717,2013,87676.99,1.49,114.51179604402634,0.0011107688265262,123.2953397444096,551.5584288855613,yes,5470,1.0,5994
46,金湾邸,深圳市南山区深圳湾口岸181号,南山,粤海,粤海,2556,113.932532,22.536866,OK,high_end,8588,2012,95237.45,1.675,268.4427214191831,0.0002639271729158,29.295916193657508,330.8530186878521,dormitory,5941,0.7,4556
47,银湖居,深圳市南山区深圳湾口岸7号,南山,粤海,粤海,832,113.933389,22.528056,OK,high_end,7846,2019,34299.17,1.657,242.73270949743917,0.000542456445314,60.21266542986063,2012.5738941827333,commercial,2139,0.7,1640
48,玉泉家园,深圳市南山区高新南一道136号,南山,粤海,粤海,1474,113.929428,22.530791,OK,high_end,9938,2015,90624.22,1.249,162.72565711277878,0.0002815062428595,31.24719295741553,975.9534577300416,dormitory,5653,0.7,4336
49,宝安名苑,深圳市南山区深圳湾口岸108号,南山,粤海,粤海,818,113.927695,22.535372,OK,commodity_housing,4324,2014,95337.82,1.426,85.84505016890681,0.0011129271950126,123.53491864640128,454.6574512292962,yes,5948,1.0,6517
50,瑞景邸,深圳市南山区高新南七道61号,南山,粤海,粤海,177,113.923913,22.523738,OK,commodity_housing,7268,2013,21135.36,1.481,83.94122929772861,0.0008236124389883,91.42098072770666,803.1197267180426,apartments,1318,1.0,1444
51,盛世花园,深圳市南山区深圳湾口岸134号,南山,粤海,粤海,1553,113.944202,22.509304,OK,high_end,4214,2015,67771.49,1.771,229.25551819458136,0.00094119676801,104.47284124911228,89.70641962609989,yes,4228,0.7,3242
52,雅居雅园,深圳市南山区高新南七道164号,南山,粤海,粤海,1508,113.943806,22.502073,OK,high_end,4852,2014,52268.64,1.667,288.6964995335394,0.0008551636454821,94.92316464852296,474.28872442910864,yes,3260,0.7,2500
53,锦绣豪庭,深圳市南山区南海大道12号,南山,粤海,粤海,1278,113.909399,22.518991,OK,commodity_housing,6486,2012,119583.14,1.631,106.8941281965454,0.0004788475879472,53.15208226214872,532.3189497539829,yes,7460,1.0,8174
54,绿景公馆,深圳市南山区科苑路136号,南山,粤海,粤海,764,113.936566,22.527584,OK,commodity_housing,10575,2012,82013.26,1.366,93.16848118066328,0.0005323510642983,59.09096813711723,2097.6382237099097,commercial,5116,1.0,5606
55,振业苑,深圳市南山区高新南七道157号,南山,粤海,粤海,913,113.925118,22.541016,OK,commodity_housing,9042,2010,89816.17,1.522,101.66693314004294,0.0022074370655366,245.02551427456368,308.35582125479766,yes,5603,1.0,6139
56,金成邸,深圳市南山区科苑路56号,南山,粤海,粤海,890,113.936429,22.529584,OK,commodity_housing,8713,2011,61663.91,1.549,144.34235862848917,0.0002347357043134,26.055663178788343,5936.6454748766455,commercial,3847,1.0,4215
57,星海居,深圳市南山区南海大道86号,南山,粤海,粤海,2839,113.946034,22.517194,OK,high_end,5193,2013,118727.61,1.606,239.11960730282027,0.0023385483596981,259.57886792649543,2997.313644264775,yes,7407,0.7,5680
58,金地家园,深圳市南山区高新南七道197号,南山,粤海,粤海,360,113.942603,22.513997,OK,high_end,4633,2013,23682.19,1.654,152.05079472404958,0.0009055053173679,100.51109022783967,47.57146475481352,yes,1477,0.7,1131
59,华润名苑,深圳市南山区南海大道51号,南山,粤海,粤海,2283,113.962906,22.52795,OK,high_end,7809,2018,104964.74,1.584,217.581620296514,0.0004047128464127,44.92312595181191,626.4431811609279,apartments,6548,0.7,5022
60,中海邸,深圳市南山区科苑路162号,南山,粤海,粤海,1821,113.934102,22.533732,OK,high_end,7976,2015,95699.91,1.228,190.3008723037961,0.0014848571956981,164.8191487224922,303.94646546647573,yes,5970,0.7,4579
61,万科花园,深圳市南山区深圳湾口岸85号,南山,粤海,粤海,349,113.911981,22.531467,OK,commodity_housing,11580,2014,28840.82,1.76,121.29691279963453,0.0001924691222171,21.364072566107843,633.5910898269997,apartments,1799,1.0,1971
62,招商雅园,深圳市南山区高新南一道179号,南山,粤海,粤海,1149,113.920562,22.510689,OK,high_end,9881,2017,55058.76,1.554,208.83660676495984,7.4496511587559e-05,8.269112786219049,648.1046038668086,apartments,3435,0.7,2634
63,华侨城豪庭,深圳市南山区高新南七道138号,南山,粤海,粤海,1204,113.943036,22.522476,OK,commodity_housing,7637,2016,82208.67,1.883,146.46644365603495,0.000556750337001,61.79928740711159,1700.728298065511,yes,5128,1.0,5619
64,花样年公馆,深圳市南山区深圳湾口岸126号,南山,粤海,粤海,754,113.947339,22.521867,OK,commodity_housing,8971,2013,65913.58,1.897,114.48326657950088,0.0007172846521413,79.61859638768702,122.57957405183016,warehouse,4112,1.0,4505
65,佳兆业苑,深圳市南山区高新南七道184号,南山,粤海,粤海,1062,113.930503,22.523001,OK,high_end,9238,2007,60030.05,1.619,177.01009085239477,3.144590070758208e-05,3.490494978541611,2104.7878119033226,apartments,3745,0.7,2872
66,龙光邸,深圳市南山区深圳湾口岸5号,南山,粤海,粤海,2153,113.914194,22.540901,OK,high_end,7188,2020,117311.03,1.582,183.57735988594808,0.0003652300656995,40.540537292648985,3188.360788533189,apartments,7318,0.7,5612
67,卓越居,深圳市南山区科苑路47号,南山,粤海,粤海,337,113.929525,22.536047,OK,commodity_housing,5593,2009,32874.84,1.398,102.51079352760205,0.0006226486090648,69.11399560619513,3217.979985688909,yes,2051,1.0,2247
68,华联家园,深圳市南山区南海大道99号,南山,粤海,粤海,812,113.933411,22.526352,OK,commodity_housing,5878,2013,57728.6,1.202,140.78107749249108,0.0005212289915102,57.8564180576405,1975.071606180392,commercial,3601,1.0,3946
69,天悦名苑,深圳市南山区高新南一道56号,南山,粤海,粤海,1165,113.937344,22.533373,OK,high_end,11150,2013,73126.58,1.632,159.3512043766862,0.0005000601232066,55.506673675935325,1316.105575143807,dormitory,4562,0.7,3498
70,龙瑞邸,深圳市南山区高新南一道115号,南山,粤海,粤海,2659,113.947894,22.542281,OK,high_end,5797,2014,94961.62,1.218,280.0822471612085,0.0001020814026082,11.331035689510776,8247.026776159775,commercial,5924,0.7,4543
71,阳光花园,深圳市南山区南海大道13号,南山,粤海,粤海,691,113.935357,22.53553,OK,high_end,4296,2014,41144.8,1.396,167.96431977288768,0.0003368653518438,37.392054054666126,1207.2261579962308,apartments,2566,0.7,1968
72,翠湖雅园,深圳市南山区科苑路111号,南山,粤海,粤海,1610,113.919179,22.517452,OK,high_end,3232,2010,69844.22,1.252,230.56598127278212,0.0005619417800479,62.37553758532052,131.2126475259169,yes,4357,0.7,3341
73,碧海豪庭,深圳市南山区深圳湾口岸198号,南山,粤海,粤海,1720,113.934654,22.515918,OK,high_end,5739,2009,84591.72,1.542,203.41450888467693,0.0003361670901098,37.31454700218823,2080.7037456934927,commercial,5277,0.7,4046
74,金湾公馆,深圳市南山区南海大道131号,南山,粤海,粤海,788,113.929771,22.523903,OK,commodity_housing,4733,2010,56535.68,1.493,139.55722624853024,5.83531698832337e-05,6.477201857038941,738.0351246064199,apartments,3527,1.0,3864
75,银湖苑,深圳市南山区高新南一道62号,南山,粤海,粤海,935,113.923645,22.526237,OK,commodity_housing,8966,2016,101707.21,1.355,91.9621311173046,0.0004264583696458,47.33687903068729,613.5360284999043,yes,6345,1.0,6952
76,玉泉邸,深圳市南山区高新南一道20号,南山,粤海,粤海,995,113.94908,22.521307,OK,commodity_housing,9316,2014,96949.29,1.576,102.65754654829706,0.0011123005395077,123.46535988535756,122.57957405183016,warehouse,6048,1.0,6627
77,宝安居,深圳市南山区南海大道134号,南山,粤海,粤海,415,113.935153,22.531212,OK,commodity_housing,4917,2013,35436.27,1.489,117.281260278611,0.0014660894642955,162.7359305368041,1482.678574390614,commercial,2210,1.0,2421
78,瑞景家园,深圳市南山区深圳湾口岸73号,南山,粤海,粤海,655,113.933052,22.53122,OK,high_end,5219,2014,40173.05,1.611,163.18021668639852,0.0004054368264677,45.00348773792422,551.5584288855613,yes,2506,0.7,1922
79,盛世名苑,深圳市南山区深圳湾口岸120号,南山,粤海,粤海,1141,113.936071,22.511357,OK,commodity_housing,10984,2017,105072.75,1.648,108.5962805055142,0.000735947108214,81.6901290117643,3253.25268963537,commercial,6555,1.0,7183
80,雅居邸,深圳市南山区高新南一道105号,南山,粤海,粤海,2600,113.940731,22.527673,OK,high_end,5560,2015,94112.06,1.545,276.2743165137408,0.0007188188333584,79.78889050278597,514.3684343037455,apartments,5871,0.7,4502
81,锦绣花园,深圳市南山区科苑路89号,南山,粤海,粤海,1646,113.935071,22.505613,OK,high_end,10546,2015,83375.86,1.745,197.42948734447415,0.0002146624908533,23.827536484725,689.5460455974885,apartments,5201,0.7,3988
82,绿景雅园,深圳市南山区南海大道153号,南山,粤海,粤海,876,113.929827,22.516451,OK,commodity_housing,9943,2012,66267.98,1.381,132.3326566123376,5.563385876302239e-05,6.175358322695486,1006.8757721762096,apartments,4134,1.0,4530
83,振业豪庭,深圳市南山区高新南一道42号,南山,粤海,粤海,767,113.928262,22.536646,OK,commodity_housing,7018,2016,74284.93,1.459,103.2971050138739,6.367721442723445e-05,7.068170801423024,206.6847120229469,yes,4634,1.0,5077
84,金成公馆,深圳市南山区南海大道97号,南山,粤海,粤海,1967,113.94925,22.545066,OK,high_end,8408,2014,73346.11,1.736,268.2895816836796,0.0005616571424755,62.3439428147852,2380.9643073640555,commercial,4575,0.7,3508
85,星海苑,深圳市南山区高新南七道109号,南山,粤海,粤海,2941,113.929179,22.506992,OK,high_end,7612,2014,107676.56,1.405,273.1885957008019,3.576734692097902e-05,3.970175508228672,522.7852704826767,apartments,6717,0.7,5151
86,金地邸,深圳市南山区科苑路155号,南山,粤海,粤海,903,113.942742,22.535988,OK,high_end,6719,2012,34991.74,1.338,258.33788525895994,0.0005536625520643,61.45654327914478,2366.145614354318,yes,2183,0.7,1674
87,华润居,深圳市南山区科苑路46号,南山,粤海,粤海,461,113.922723,22.51294,OK,commodity_housing,8779,2016,38159.77,1.745,120.83742563362844,0.000218971510715,24.30583768936856,1065.256249411741,apartments,2380,1.0,2608
88,中海家园,深圳市南山区高新南七道100号,南山,粤海,粤海,554,113.915843,22.511121,OK,commodity_housing,3984,2018,45601.55,1.636,121.50740336811752,0.0005475226091052,60.77500961068619,2733.597346455719,commercial,2845,1.0,3117
89,万科名苑,深圳市南山区南海大道11号,南山,粤海,粤海,928,113.954302,22.517191,OK,high_end,11795,2011,57443.54,1.537,161.5981598233181,0.0057607751328154,639.4460397425097,76.14581166004973,yes,3583,0.7,2748
90,招商邸,深圳市南山区高新南一道168号,南山,粤海,粤海,2993,113.931979,22.528964,OK,high_end,6417,2015,103889.81,1.275,288.12628239260584,0.0011197196958129,124.28888623524108,705.32610480103,yes,6481,0.7,4970
91,华侨城花园,深圳市南山区科苑路75号,南山,粤海,粤海,1705,113.926728,22.521339,OK,high_end,7212,2017,80372.15,1.269,212.17568763054416,0.0003205444165317,35.58043023502927,1012.8681502932898,apartments,5014,0.7,3845
92,花样年雅园,深圳市南山区高新南一道179号,南山,粤海,粤海,1732,113.946542,22.521932,OK,high_end,11609,2012,111845.47,1.727,154.92700053651575,0.0012162980321007,135.0090815631803,20.332366076699284,yes,6977,0.7,5350
93,佳兆业豪庭,深圳市南山区科苑路49号,南山,粤海,粤海,935,113.93518,22.544173,OK,commodity_housing,9320,2016,98049.57,1.367,95.4068049856768,0.0001211637191997,13.449172831167605,2009.9618213908773,yes,6117,1.0,6703
95,卓越苑,深圳市南山区高新南一道18号,南山,粤海,粤海,1380,113.933449,22.526941,OK,high_end,5079,2018,66823.18,1.575,206.65889211602536,0.0002189701268527,24.30568408065969,1975.071606180392,commercial,4169,0.7,3197
96,华联邸,深圳市南山区高新南七道129号,南山,粤海,粤海,763,113.929537,22.547233,OK,commodity_housing,9645,2013,64076.27,1.44,119.17482319157526,0.0003917514573823,43.48441176944465,679.1566336087005,apartments,3997,1.0,4379
97,天悦居,深圳市南山区科苑路135号,南山,粤海,粤海,1055,113.933931,22.529824,OK,high_end,9305,2009,60873.42,1.215,173.42288960492854,0.0013108359427545,145.50278964575003,551.5584288855613,yes,3797,0.7,2911
98,龙瑞家园,深圳市南山区南海大道67号,南山,粤海,粤海,659,113.934589,22.527362,OK,high_end,8954,2011,43107.48,1.603,152.95658066315465,0.0002003172392482,22.2352135565576,1833.3627951500928,commercial,2689,0.7,2062
99,阳光名苑,深圳市南山区科苑路7号,南山,粤海,粤海,1044,113.946851,22.517873,OK,commodity_housing,5538,2013,116264.93,1.889,89.87572941443995,0.0014072439816193,156.20408195974636,2997.313644264775,yes,7253,1.0,7947
100,翠湖邸,深圳市南山区科苑路2号,南山,粤海,粤海,795,113.921203,22.512695,OK,high_end,7242,2012,32277.69,1.726,246.438834542138,0.0007454281045519,82.74251960526256,6722.314726057331,yes,2013,0.7,1543
101,碧海花园,深圳市南山区南海大道53号,南山,粤海,粤海,472,113.949807,22.518685,OK,high_end,7566,2011,23422.81,1.839,201.77882173219132,0.0027129743925563,301.1401575737578,2997.313644264775,yes,1461,0.7,1119
103,银湖豪庭,深圳市南山区科苑路29号,南山,粤海,粤海,505,113.942448,22.529059,OK,commodity_housing,10368,2011,33935.61,1.884,148.90815264924865,7.839365772541014e-05,8.701696007520525,438.9494103064029,residential,2117,1.0,2319
104,玉泉公馆,深圳市南山区科苑路17号,南山,粤海,粤海,2635,113.938602,22.53472,OK,high_end,9981,2018,111429.88,1.271,236.47747132713803,0.000407360550666,45.21702112392773,3150.9813837301704,commercial,6951,0.7,5331
105,宝安苑,深圳市南山区深圳湾口岸190号,南山,粤海,粤海,962,113.923467,22.535811,OK,commodity_housing,9136,2014,69427.39,1.544,138.6674874224807,0.0005398041046364,59.91825561464621,1703.6335192861734,yes,4331,1.0,4745
106,瑞景邸,深圳市南山区科苑路29号,南山,粤海,粤海,1146,113.933694,22.527844,OK,commodity_housing,8941,2016,93803.36,1.25,122.22064766264717,0.0002784594173246,30.90899532304064,2012.5738941827333,commercial,5852,1.0,6412
107,盛世居,深圳市南山区深圳湾口岸56号,南山,粤海,粤海,984,113.928794,22.53318,OK,commodity_housing,4333,2014,67605.04,1.598,145.57808175273306,0.000626153029689,69.50298629548504,1521.74658087586,yes,4217,1.0,4621
108,雅居家园,深圳市南山区高新南一道154号,南山,粤海,粤海,1529,113.935191,22.528852,OK,commodity_housing,4762,2015,104152.97,1.708,146.86654189064353,9.571530897058192e-05,10.624399295734593,1838.2286236236075,commercial,6497,1.0,7119
109,锦绣名苑,深圳市南山区深圳湾口岸108号,南山,粤海,粤海,871,113.925483,22.529554,OK,commodity_housing,4639,2013,63482.73,1.348,137.33716223719398,0.0002767532739737,30.719613411090336,1898.287441366088,apartments,3960,1.0,4339
110,绿景邸,深圳市南山区深圳湾口岸17号,南山,粤海,粤海,808,113.932405,22.520835,OK,commodity_housing,9667,2019,56097.39,1.255,144.211950282357,0.0006593900768271,73.19229852781295,8077.861165124033,commercial,3499,1.0,3834
111,振业小区,深圳市南山区前海路143号,南山,南山,南山,134,113.927336,22.526982,OK,urban_village,4150,2005,28241.9,1.188,47.58409531590063,0.0002111478155181,23.43740752251355,685.0637566767539,yes,1761,1.8,3472
112,金成苑,深圳市南山区南新路86号,南山,南山,南山,154,113.917603,22.528936,OK,commodity_housing,2046,2007,10296.6,0.953,149.95474496960844,0.00034429277894,38.216498462340944,747.0871839131352,apartments,642,1.0,703
113,星海园,深圳市南山区学府路146号,南山,南山,南山,210,113.918644,22.529622,OK,urban_village,10407,1999,45165.96,0.885,46.55106627473283,0.0001404475722961,15.589680524875732,1458.9801105005358,apartments,2817,1.8,5555
114,金地居,深圳市南山区学府路37号,南山,南山,南山,306,113.903961,22.528008,OK,commodity_housing,3182,2005,26964.26,0.999,113.67433186908605,0.0010040993552588,111.45502843373258,2859.41712070744,yes,1682,1.0,1843
115,华润新区,深圳市南山区桂庙路170号,南山,南山,南山,86,113.908472,22.528166,OK,urban_village,9040,2001,22707.82,1.132,38.004202746968296,0.0005156364694105,57.235648104573016,2038.8832088694649,apartments,1416,1.8,2792
116,中海家园,深圳市南山区学府路123号,南山,南山,南山,61,113.924562,22.523573,OK,urban_village,5641,2000,17856.39,0.711,34.59909724799314,0.0005807102904031,64.45884223474839,212.0809084509768,yes,1114,1.8,2197
117,万科大厦,深圳市南山区前海路133号,南山,南山,南山,646,113.925715,22.5299,OK,commodity_housing,3771,2013,59172.34,1.061,109.24367475171336,0.0003062600074719,33.99486082938765,1026.408904166708,yes,3691,1.0,4044
118,招商村,深圳市南山区南头街181号,南山,南山,南山,67,113.917992,22.529927,OK,urban_village,3565,1999,17030.09,1.029,39.72771336177237,0.0002866895001177,31.82253451307059,1575.8309914720994,apartments,1062,1.8,2094
119,华侨城花园,深圳市南山区学府路62号,南山,南山,南山,79,113.927383,22.529275,OK,urban_village,4228,1998,16852.63,0.851,46.97795768905412,0.0005064420536851,56.21506795904677,416.4351016916935,dormitory,1051,1.8,2072
