id,housetitle,address,quxian,shangquan,sqpinyin,money,lng,lat,geocode_status,community_type,population,built_year,area_m2,supply,price_per_m2,res_building_dist_deg,res_building_dist_m,res_building_area_m2,res_building_type
71,阳光花园,深圳市南山区南海大道13号,南山,粤海,粤海,691,113.935357,22.53553,OK,high_end,4296,2014,41144.8,1.396,167.96431977288768,0.000336865351843839,37.392054054666126,1207.2261579962308,apartments
72,翠湖雅园,深圳市南山区科苑路111号,南山,粤海,粤海,1610,113.919179,22.517452,OK,high_end,3232,2010,69844.22,1.252,230.56598127278215,0.0005619417800479327,62.37553758532052,131.2126475259169,yes
73,碧海豪庭,深圳市南山区深圳湾口岸198号,南山,粤海,粤海,1720,113.934654,22.515918,OK,high_end,5739,2009,84591.72,1.542,203.41450888467693,0.00033616709010980385,37.31454700218823,2080.7037456934927,commercial
74,金湾公馆,深圳市南山区南海大道131号,南山,粤海,粤海,788,113.929771,22.523903,OK,commodity_housing,4733,2010,56535.68,1.493,139.55722624853024,5.83531698832337e-05,6.477201857038941,738.0351246064199,apartments
75,银湖苑,深圳市南山区高新南一道62号,南山,粤海,粤海,935,113.923645,22.526237,OK,commodity_housing,8966,2016,101707.21,1.355,91.96213111730461,0.00042645836964583147,47.33687903068729,613.5360284999043,yes
76,玉泉邸,深圳市南山区高新南一道20号,南山,粤海,粤海,995,113.94908,22.521307,OK,commodity_housing,9316,2014,96949.29,1.576,102.65754654829706,0.0011123005395077257,123.46535988535756,122.57957405183016,warehouse
77,宝安居,深圳市南山区南海大道134号,南山,粤海,粤海,415,113.935153,22.531212,OK,commodity_housing,4917,2013,35436.27,1.489,117.281260278611,0.0014660894642955324,162.7359305368041,1482.6785743906141,commercial
78,瑞景家园,深圳市南山区深圳湾口岸73号,南山,粤海,粤海,655,113.933052,22.53122,OK,high_end,5219,2014,40173.05,1.611,163.18021668639852,0.0004054368264677857,45.00348773792422,551.5584288855613,yes
79,盛世名苑,深圳市南山区深圳湾口岸120号,南山,粤海,粤海,1141,113.936071,22.511357,OK,commodity_housing,10984,2017,105072.75,1.648,108.59628050551419,0.0007359471082140928,81.6901290117643,3253.25268963537,commercial
80,雅居邸,深圳市南山区高新南一道105号,南山,粤海,粤海,2600,113.940731,22.527673,OK,high_end,5560,2015,94112.06,1.545,276.2743165137408,0.0007188188333584323,79.78889050278597,514.3684343037455,apartments
81,锦绣花园,深圳市南山区科苑路89号,南山,粤海,粤海,1646,113.935071,22.505613,OK,high_end,10546,2015,83375.86,1.745,197.42948734447418,0.00021466249085337836,23.827536484724998,689.5460455974885,apartments
82,绿景雅园,深圳市南山区南海大道153号,南山,粤海,粤海,876,113.929827,22.516451,OK,commodity_housing,9943,2012,66267.98,1.381,132.3326566123376,5.563385876302239e-05,6.175358322695486,1006.8757721762097,apartments
83,振业豪庭,深圳市南山区高新南一道42号,南山,粤海,粤海,767,113.928262,22.536646,OK,commodity_housing,7018,2016,74284.93,1.459,103.2971050138739,6.367721442723445e-05,7.068170801423024,206.6847120229469,yes
84,金成公馆,深圳市南山区南海大道97号,南山,粤海,粤海,1967,113.94925,22.545066,OK,high_end,8408,2014,73346.11,1.736,268.2895816836796,0.0005616571424755423,62.3439428147852,2380.9643073640555,commercial
85,星海苑,深圳市南山区高新南七道109号,南山,粤海,粤海,2941,113.929179,22.506992,OK,high_end,7612,2014,107676.56,1.405,273.1885957008019,3.576734692097902e-05,3.9701755082286714,522.7852704826767,apartments
86,金地邸,深圳市南山区科苑路155号,南山,粤海,粤海,903,113.942742,22.535988,OK,high_end,6719,2012,34991.74,1.338,258.33788525895994,0.0005536625520643674,61.45654327914478,2366.145614354318,yes
87,华润居,深圳市南山区科苑路46号,南山,粤海,粤海,461,113.922723,22.51294,OK,commodity_housing,8779,2016,38159.77,1.745,120.83742563362844,0.00021897151071503207,24.30583768936856,1065.256249411741,apartments
88,中海家园,深圳市南山区高新南七道100号,南山,粤海,粤海,554,113.915843,22.511121,OK,commodity_housing,3984,2018,45601.55,1.636,121.50740336811751,0.000547522609105281,60.77500961068619,2733.597346455719,commercial
89,万科名苑,深圳市南山区南海大道11号,南山,粤海,粤海,928,113.954302,22.517191,OK,high_end,11795,2011,57443.54,1.537,161.5981598233181,0.005760775132815403,639.4460397425097,76.14581166004973,yes
90,招商邸,深圳市南山区高新南一道168号,南山,粤海,粤海,2993,113.931979,22.528964,OK,high_end,6417,2015,103889.81,1.275,288.12628239260584,0.0011197196958129827,124.28888623524108,705.32610480103,yes
91,华侨城花园,深圳市南山区科苑路75号,南山,粤海,粤海,1705,113.926728,22.521339,OK,high_end,7212,2017,80372.15,1.269,212.17568763054416,0.0003205444165317952,35.58043023502927,1012.8681502932898,apartments
92,花样年雅园,深圳市南山区高新南一道179号,南山,粤海,粤海,1732,113.946542,22.521932,OK,high_end,11609,2012,111845.47,1.727,154.92700053651575,0.0012162980321007233,135.0090815631803,20.332366076699284,yes
93,佳兆业豪庭,深圳市南山区科苑路49号,南山,粤海,粤海,935,113.93518,22.544173,OK,commodity_housing,9320,2016,98049.57,1.367,95.4068049856768,0.00012116371919970813,13.449172831167603,2009.9618213908773,yes
95,卓越苑,深圳市南山区高新南一道18号,南山,粤海,粤海,1380,113.933449,22.526941,OK,high_end,5079,2018,66823.18,1.575,206.65889211602538,0.00021897012685279004,24.305684080659695,1975.0716061803917,commercial
96,华联邸,深圳市南山区高新南七道129号,南山,粤海,粤海,763,113.929537,22.547233,OK,commodity_housing,9645,2013,64076.27,1.44,119.17482319157526,0.0003917514573823842,43.48441176944465,679.1566336087005,apartments
97,天悦居,深圳市南山区科苑路135号,南山,粤海,粤海,1055,113.933931,22.529824,OK,high_end,9305,2009,60873.42,1.215,173.42288960492854,0.0013108359427545047,145.50278964575003,551.5584288855613,yes
98,龙瑞家园,深圳市南山区南海大道67号,南山,粤海,粤海,659,113.934589,22.527362,OK,high_end,8954,2011,43107.48,1.603,152.95658066315463,0.00020031723924826664,22.235213556557596,1833.3627951500926,commercial
99,阳光名苑,深圳市南山区科苑路7号,南山,粤海,粤海,1044,113.946851,22.517873,OK,commodity_housing,5538,2013,116264.93,1.889,89.87572941443995,0.0014072439816193365,156.20408195974636,2997.313644264775,yes
100,翠湖邸,深圳市南山区科苑路2号,南山,粤海,粤海,795,113.921203,22.512695,OK,high_end,7242,2012,32277.69,1.726,246.43883454213798,0.000745428104551915,82.74251960526256,6722.314726057331,yes
101,碧海花园,深圳市南山区南海大道53号,南山,粤海,粤海,472,113.949807,22.518685,OK,high_end,7566,2011,23422.81,1.839,201.77882173219135,0.0027129743925563767,301.1401575737578,2997.313644264775,yes
103,银湖豪庭,深圳市南山区科苑路29号,南山,粤海,粤海,505,113.942448,22.529059,OK,commodity_housing,10368,2011,33935.61,1.884,148.90815264924865,7.839365772541014e-05,8.701696007520525,438.9494103064029,residential
104,玉泉公馆,深圳市南山区科苑路17号,南山,粤海,粤海,2635,113.938602,22.53472,OK,high_end,9981,2018,111429.88,1.271,236.47747132713803,0.00040736055066601556,45.21702112392773,3150.9813837301704,commercial
105,宝安苑,深圳市南山区深圳湾口岸190号,南山,粤海,粤海,962,113.923467,22.535811,OK,commodity_housing,9136,2014,69427.39,1.544,138.6674874224807,0.0005398041046364523,59.91825561464621,1703.6335192861734,yes
106,瑞景邸,深圳市南山区科苑路29号,南山,粤海,粤海,1146,113.933694,22.527844,OK,commodity_housing,8941,2016,93803.36,1.25,122.22064766264717,0.0002784594173246905,30.908995323040642,2012.5738941827333,commercial
107,盛世居,深圳市南山区深圳湾口岸56号,南山,粤海,粤海,984,113.928794,22.53318,OK,commodity_housing,4333,2014,67605.04,1.598,145.57808175273306,0.0006261530296890544,69.50298629548504,1521.74658087586,yes
108,雅居家园,深圳市南山区高新南一道154号,南山,粤海,粤海,1529,113.935191,22.528852,OK,commodity_housing,4762,2015,104152.97,1.708,146.86654189064353,9.571530897058191e-05,10.624399295734591,1838.2286236236073,commercial
109,锦绣名苑,深圳市南山区深圳湾口岸108号,南山,粤海,粤海,871,113.925483,22.529554,OK,commodity_housing,4639,2013,63482.73,1.348,137.33716223719398,0.0002767532739737868,30.719613411090336,1898.287441366088,apartments
110,绿景邸,深圳市南山区深圳湾口岸17号,南山,粤海,粤海,808,113.932405,22.520835,OK,commodity_housing,9667,2019,56097.39,1.255,144.211950282357,0.0006593900768271436,73.19229852781295,8077.861165124033,commercial
111,振业小区,深圳市南山区前海路143号,南山,南山,南山,134,113.927336,22.526982,OK,urban_village,4150,2005,28241.9,1.188,47.584095315900626,0.0002111478155181401,23.43740752251355,685.0637566767539,yes
112,金成苑,深圳市南山区南新路86号,南山,南山,南山,154,113.917603,22.528936,OK,commodity_housing,2046,2007,10296.6,0.953,149.95474496960844,0.0003442927789400085,38.216498462340944,747.0871839131352,apartments
113,星海园,深圳市南山区学府路146号,南山,南山,南山,210,113.918644,22.529622,OK,urban_village,10407,1999,45165.96,0.885,46.55106627473283,0.00014044757229617777,15.589680524875732,1458.9801105005358,apartments
114,金地居,深圳市南山区学府路37号,南山,南山,南山,306,113.903961,22.528008,OK,commodity_housing,3182,2005,26964.26,0.999,113.67433186908605,0.0010040993552588521,111.45502843373258,2859.41712070744,yes
115,华润新区,深圳市南山区桂庙路170号,南山,南山,南山,86,113.908472,22.528166,OK,urban_village,9040,2001,22707.82,1.132,38.004202746968296,0.0005156364694105677,57.235648104573016,2038.8832088694646,apartments
116,中海家园,深圳市南山区学府路123号,南山,南山,南山,61,113.924562,22.523573,OK,urban_village,5641,2000,17856.39,0.711,34.59909724799314,0.0005807102904031386,64.45884223474839,212.0809084509768,yes
117,万科大厦,深圳市南山区前海路133号,南山,南山,南山,646,113.925715,22.5299,OK,commodity_housing,3771,2013,59172.34,1.061,109.24367475171337,0.0003062600074719608,33.99486082938765,1026.408904166708,yes
118,招商村,深圳市南山区南头街181号,南山,南山,南山,67,113.917992,22.529927,OK,urban_village,3565,1999,17030.09,1.029,39.72771336177237,0.00028668950011775306,31.82253451307059,1575.8309914720994,apartments
119,华侨城花园,深圳市南山区学府路62号,南山,南山,南山,79,113.927383,22.529275,OK,urban_village,4228,1998,16852.63,0.851,46.97795768905412,0.000506442053685106,56.21506795904677,416.4351016916935,dormitory
120,花样年小区,深圳市南山区桂庙路110号,南山,南山,南山,251,113.915219,22.527597,OK,commodity_housing,6867,2001,20046.93,1.452,125.4752654294658,0.0005662122925184095,62.84956446954346,1058.9311048828943,apartments
121,佳兆业苑,深圳市南山区南新路61号,南山,南山,南山,846,113.918471,22.533855,OK,commodity_housing,2053,2004,58393.34,1.13,144.9426598236649,0.000757597745564681,84.09334975767959,720.3949275827702,yes
122,龙光园,深圳市南山区桂庙路120号,南山,南山,南山,672,113.917272,22.541312,OK,commodity_housing,4109,2004,59809.46,1.138,112.43665237509339,0.0008246786635788121,91.53933165724816,1232.4799455421519,yes
123,卓越居,深圳市南山区学府路153号,南山,南山,南山,321,113.91799,22.529233,OK,commodity_housing,3640,1998,28340.83,0.764,113.36737798312578,0.0002112631840571761,23.450213430346547,747.0871839131352,apartments
124,华联新区,深圳市南山区南新路146号,南山,南山,南山,40,113.918467,22.529376,OK,urban_village,3354,2003,9648.72,0.603,42.39285732124375,0.0001086322234457362,12.058176802476718,719.4606998749197,apartments
125,天悦家园,深圳市南山区学府路80号,南山,南山,南山,105,113.922229,22.532361,OK,urban_village,3991,2006,24265.17,1.119,43.347747973842544,0.0006630157951991927,73.59475326711039,553.6612754213106,yes
126,龙瑞大厦,深圳市南山区学府路166号,南山,南山,南山,29,113.90782,22.514299,OK,urban_village,4104,2002,10638.14,1.114,27.6458523457146,0.00024098141837510743,26.748937439636926,4351.288724895258,retail
127,阳光村,深圳市南山区桂庙路12号,南山,南山,南山,58,113.925228,22.547999,OK,urban_village,8906,2001,15002.91,0.601,38.904543375993924,0.0001793851303818769,19.911749472388337,397.6366155772588,apartments
128,翠湖花园,深圳市南山区前海路192号,南山,南山,南山,579,113.92431,22.530253,OK,commodity_housing,3690,2003,59021.68,0.979,98.18625067449119,0.0004496430936691143,49.91038339727169,1044.6888067184207,apartments
129,碧海小区,深圳市南山区前海路148号,南山,南山,南山,356,113.901382,22.525735,OK,commodity_housing,3435,2007,40896.34,1.16,87.17568095934755,0.0014556190681699016,161.57371656685908,470.2185996737254,yes
130,金湾苑,深圳市南山区学府路50号,南山,南山,南山,83,113.917432,22.52862,OK,urban_village,3440,2001,31465.39,0.884,26.44801151396996,0.0001853877147118277,20.578036333012875,550.0440568806213,apartments
