id,housetitle,address,quxian,shangquan,sqpinyin,money,price_per_m2,lng,lat,geocode_status,community_type,population,built_year,area_m2,supply
28,金成家园,深圳市南山区深圳湾口岸160号,南山,粤海,粤海,2259,194.16733381043787,113.945794,22.522781,OK,high_end,3606,2015,116362.0,1.832
29,星海名苑,深圳市南山区科苑路127号,南山,粤海,粤海,777,86.8023545639538,113.940267,22.520858,OK,commodity_housing,9709,2009,89602.98,1.542
30,金地邸,深圳市南山区科苑路26号,南山,粤海,粤海,784,232.92299653618616,113.910596,22.525177,OK,high_end,11096,2009,33662.13,1.709
31,华润花园,深圳市南山区高新南七道98号,南山,粤海,粤海,1688,282.992572342599,113.943953,22.505433,OK,high_end,9655,2010,59678.38,1.62
32,中海雅园,深圳市南山区科苑路58号,南山,粤海,粤海,665,100.05788764897991,113.94845,22.537015,OK,commodity_housing,7146,2015,66559.8,1.684
33,万科豪庭,深圳市南山区深圳湾口岸116号,南山,粤海,粤海,528,112.008561312961,113.936027,22.528199,OK,commodity_housing,6124,2015,47154.29,1.779
34,招商公馆,深圳市南山区高新南一道145号,南山,粤海,粤海,432,130.02165729259664,113.918374,22.538354,OK,commodity_housing,10987,2008,33274.54,1.782
35,华侨城苑,深圳市南山区南海大道117号,南山,粤海,粤海,1079,96.78511514101822,113.925233,22.535207,OK,commodity_housing,4081,2011,111521.37,1.465
36,花样年邸,深圳市南山区高新南一道86号,南山,粤海,粤海,790,97.34116926508102,113.925657,22.516953,OK,commodity_housing,3580,2018,81172.07,1.452
37,佳兆业居,深圳市南山区深圳湾口岸23号,南山,粤海,粤海,1217,175.98028048650227,113.938237,22.528294,OK,high_end,9617,2013,69161.59,1.484
38,龙光家园,深圳市南山区南海大道69号,南山,粤海,粤海,669,145.3405415655638,113.960374,22.535904,OK,commodity_housing,5849,2012,46089.36,1.639
39,卓越名苑,深圳市南山区高新南七道33号,南山,粤海,粤海,1222,107.17189483445654,113.928049,22.512219,OK,commodity_housing,9303,2013,114023.02,1.545
40,华联邸,深圳市南山区高新南七道29号,南山,粤海,粤海,1675,285.8025962934096,113.920245,22.531962,OK,high_end,8387,2014,58610.26,1.777
41,天悦花园,深圳市南山区高新南一道105号,南山,粤海,粤海,607,103.8437198624968,113.937558,22.529191,OK,commodity_housing,11967,2014,58539.66,1.609
42,龙瑞雅园,深圳市南山区高新南七道138号,南山,粤海,粤海,353,147.73063860641733,113.915605,22.528483,OK,commodity_housing,3412,2012,23918.63,1.967
43,阳光豪庭,深圳市南山区深圳湾口岸12号,南山,粤海,粤海,1260,280.06749108145834,113.920887,22.535363,OK,high_end,8073,2013,45001.64,1.548
44,翠湖公馆,深圳市南山区南海大道86号,南山,粤海,粤海,684,225.78785586717856,113.916034,22.537072,OK,high_end,5914,2014,30312.39,1.742
45,碧海苑,深圳市南山区深圳湾口岸69号,南山,粤海,粤海,1004,114.51179604402634,113.934175,22.530675,OK,commodity_housing,3717,2013,87676.99,1.49
46,金湾邸,深圳市南山区深圳湾口岸181号,南山,粤海,粤海,2556,268.4427214191831,113.932532,22.536866,OK,high_end,8588,2012,95237.45,1.675
47,银湖居,深圳市南山区深圳湾口岸7号,南山,粤海,粤海,832,242.73270949743915,113.933389,22.528056,OK,high_end,7846,2019,34299.17,1.657
48,玉泉家园,深圳市南山区高新南一道136号,南山,粤海,粤海,1474,162.72565711277878,113.929428,22.530791,OK,high_end,9938,2015,90624.22,1.249
49,宝安名苑,深圳市南山区深圳湾口岸108号,南山,粤海,粤海,818,85.84505016890681,113.927695,22.535372,OK,commodity_housing,4324,2014,95337.82,1.426
50,瑞景邸,深圳市南山区高新南七道61号,南山,粤海,粤海,177,83.94122929772861,113.923913,22.523738,OK,commodity_housing,7268,2013,21135.36,1.481
51,盛世花园,深圳市南山区深圳湾口岸134号,南山,粤海,粤海,1553,229.25551819458138,113.944202,22.509304,OK,high_end,4214,2015,67771.49,1.771
52,雅居雅园,深圳市南山区高新南七道164号,南山,粤海,粤海,1508,288.6964995335394,113.943806,22.502073,OK,high_end,4852,2014,52268.64,1.667
53,锦绣豪庭,深圳市南山区南海大道12号,南山,粤海,粤海,1278,106.8941281965454,113.909399,22.518991,OK,commodity_housing,6486,2012,119583.14,1.631
54,绿景公馆,深圳市南山区科苑路136号,南山,粤海,粤海,764,93.16848118066329,113.936566,22.527584,OK,commodity_housing,10575,2012,82013.26,1.366
55,振业苑,深圳市南山区高新南七道157号,南山,粤海,粤海,913,101.66693314004294,113.925118,22.541016,OK,commodity_housing,9042,2010,89816.17,1.522
56,金成邸,深圳市南山区科苑路56号,南山,粤海,粤海,890,144.34235862848917,113.936429,22.529584,OK,commodity_housing,8713,2011,61663.91,1.549
57,星海居,深圳市南山区南海大道86号,南山,粤海,粤海,2839,239.11960730282027,113.946034,22.517194,OK,high_end,5193,2013,118727.61,1.606
58,金地家园,深圳市南山区高新南七道197号,南山,粤海,粤海,360,152.05079472404958,113.942603,22.513997,OK,high_end,4633,2013,23682.19,1.654
59,华润名苑,深圳市南山区南海大道51号,南山,粤海,粤海,2283,217.58162029651402,113.962906,22.52795,OK,high_end,7809,2018,104964.74,1.584
60,中海邸,深圳市南山区科苑路162号,南山,粤海,粤海,1821,190.3008723037961,113.934102,22.533732,OK,high_end,7976,2015,95699.91,1.228
61,万科花园,深圳市南山区深圳湾口岸85号,南山,粤海,粤海,349,121.29691279963453,113.911981,22.531467,OK,commodity_housing,11580,2014,28840.82,1.76
62,招商雅园,深圳市南山区高新南一道179号,南山,粤海,粤海,1149,208.83660676495984,113.920562,22.510689,OK,high_end,9881,2017,55058.76,1.554
63,华侨城豪庭,深圳市南山区高新南七道138号,南山,粤海,粤海,1204,146.46644365603495,113.943036,22.522476,OK,commodity_housing,7637,2016,82208.67,1.883
64,花样年公馆,深圳市南山区深圳湾口岸126号,南山,粤海,粤海,754,114.48326657950088,113.947339,22.521867,OK,commodity_housing,8971,2013,65913.58,1.897
65,佳兆业苑,深圳市南山区高新南七道184号,南山,粤海,粤海,1062,177.01009085239477,113.930503,22.523001,OK,high_end,9238,2007,60030.05,1.619
66,龙光邸,深圳市南山区深圳湾口岸5号,南山,粤海,粤海,2153,183.57735988594808,113.914194,22.540901,OK,high_end,7188,2020,117311.03,1.582
67,卓越居,深圳市南山区科苑路47号,南山,粤海,粤海,337,102.51079352760203,113.929525,22.536047,OK,commodity_housing,5593,2009,32874.84,1.398
68,华联家园,深圳市南山区南海大道99号,南山,粤海,粤海,812,140.78107749249108,113.933411,22.526352,OK,commodity_housing,5878,2013,57728.6,1.202
69,天悦名苑,深圳市南山区高新南一道56号,南山,粤海,粤海,1165,159.3512043766862,113.937344,22.533373,OK,high_end,11150,2013,73126.58,1.632
70,龙瑞邸,深圳市南山区高新南一道115号,南山,粤海,粤海,2659,280.0822471612085,113.947894,22.542281,OK,high_end,5797,2014,94961.62,1.218
71,阳光花园,深圳市南山区南海大道13号,南山,粤海,粤海,691,167.96431977288768,113.935357,22.53553,OK,high_end,4296,2014,41144.8,1.396
72,翠湖雅园,深圳市南山区科苑路111号,南山,粤海,粤海,1610,230.56598127278215,113.919179,22.517452,OK,high_end,3232,2010,69844.22,1.252
73,碧海豪庭,深圳市南山区深圳湾口岸198号,南山,粤海,粤海,1720,203.41450888467693,113.934654,22.515918,OK,high_end,5739,2009,84591.72,1.542
74,金湾公馆,深圳市南山区南海大道131号,南山,粤海,粤海,788,139.55722624853024,113.929771,22.523903,OK,commodity_housing,4733,2010,56535.68,1.493
75,银湖苑,深圳市南山区高新南一道62号,南山,粤海,粤海,935,91.96213111730461,113.923645,22.526237,OK,commodity_housing,8966,2016,101707.21,1.355
76,玉泉邸,深圳市南山区高新南一道20号,南山,粤海,粤海,995,102.65754654829706,113.94908,22.521307,OK,commodity_housing,9316,2014,96949.29,1.576
77,宝安居,深圳市南山区南海大道134号,南山,粤海,粤海,415,117.281260278611,113.935153,22.531212,OK,commodity_housing,4917,2013,35436.27,1.489
78,瑞景家园,深圳市南山区深圳湾口岸73号,南山,粤海,粤海,655,163.18021668639852,113.933052,22.53122,OK,high_end,5219,2014,40173.05,1.611
79,盛世名苑,深圳市南山区深圳湾口岸120号,南山,粤海,粤海,1141,108.59628050551419,113.936071,22.511357,OK,commodity_housing,10984,2017,105072.75,1.648
80,雅居邸,深圳市南山区高新南一道105号,南山,粤海,粤海,2600,276.2743165137408,113.940731,22.527673,OK,high_end,5560,2015,94112.06,1.545
81,锦绣花园,深圳市南山区科苑路89号,南山,粤海,粤海,1646,197.42948734447418,113.935071,22.505613,OK,high_end,10546,2015,83375.86,1.745
82,绿景雅园,深圳市南山区南海大道153号,南山,粤海,粤海,876,132.3326566123376,113.929827,22.516451,OK,commodity_housing,9943,2012,66267.98,1.381
83,振业豪庭,深圳市南山区高新南一道42号,南山,粤海,粤海,767,103.2971050138739,113.928262,22.536646,OK,commodity_housing,7018,2016,74284.93,1.459
84,金成公馆,深圳市南山区南海大道97号,南山,粤海,粤海,1967,268.2895816836796,113.94925,22.545066,OK,high_end,8408,2014,73346.11,1.736
85,星海苑,深圳市南山区高新南七道109号,南山,粤海,粤海,2941,273.1885957008019,113.929179,22.506992,OK,high_end,7612,2014,107676.56,1.405
86,金地邸,深圳市南山区科苑路155号,南山,粤海,粤海,903,258.33788525895994,113.942742,22.535988,OK,high_end,6719,2012,34991.74,1.338
87,华润居,深圳市南山区科苑路46号,南山,粤海,粤海,461,120.83742563362844,113.922723,22.51294,OK,commodity_housing,8779,2016,38159.77,1.745
88,中海家园,深圳市南山区高新南七道100号,南山,粤海,粤海,554,121.50740336811751,113.915843,22.511121,OK,commodity_housing,3984,2018,45601.55,1.636
89,万科名苑,深圳市南山区南海大道11号,南山,粤海,粤海,928,161.5981598233181,113.954302,22.517191,OK,high_end,11795,2011,57443.54,1.537
90,招商邸,深圳市南山区高新南一道168号,南山,粤海,粤海,2993,288.12628239260584,113.931979,22.528964,OK,high_end,6417,2015,103889.81,1.275
91,华侨城花园,深圳市南山区科苑路75号,南山,粤海,粤海,1705,212.17568763054416,113.926728,22.521339,OK,high_end,7212,2017,80372.15,1.269
92,花样年雅园,深圳市南山区高新南一道179号,南山,粤海,粤海,1732,154.92700053651575,113.946542,22.521932,OK,high_end,11609,2012,111845.47,1.727
93,佳兆业豪庭,深圳市南山区科苑路49号,南山,粤海,粤海,935,95.4068049856768,113.93518,22.544173,OK,commodity_housing,9320,2016,98049.57,1.367
94,龙光公馆,深圳市南山区南海大道71号,南山,粤海,粤海,1840,299.53113777689214,113.946757,22.552206,OK,high_end,7243,2013,61462.41,1.251
95,卓越苑,深圳市南山区高新南一道18号,南山,粤海,粤海,1380,206.65889211602538,113.933449,22.526941,OK,high_end,5079,2018,66823.18,1.575
96,华联邸,深圳市南山区高新南七道129号,南山,粤海,粤海,763,119.17482319157526,113.929537,22.547233,OK,commodity_housing,9645,2013,64076.27,1.44
97,天悦居,深圳市南山区科苑路135号,南山,粤海,粤海,1055,173.42288960492854,113.933931,22.529824,OK,high_end,9305,2009,60873.42,1.215
98,龙瑞家园,深圳市南山区南海大道67号,南山,粤海,粤海,659,152.95658066315463,113.934589,22.527362,OK,high_end,8954,2011,43107.48,1.603
99,阳光名苑,深圳市南山区科苑路7号,南山,粤海,粤海,1044,89.87572941443995,113.946851,22.517873,OK,commodity_housing,5538,2013,116264.93,1.889
100,翠湖邸,深圳市南山区科苑路2号,南山,粤海,粤海,795,246.43883454213798,113.921203,22.512695,OK,high_end,7242,2012,32277.69,1.726
101,碧海花园,深圳市南山区南海大道53号,南山,粤海,粤海,472,201.77882173219135,113.949807,22.518685,OK,high_end,7566,2011,23422.81,1.839
102,金湾雅园,深圳市南山区南海大道114号,南山,粤海,粤海,388,114.12018387746596,113.927677,22.553527,OK,commodity_housing,4387,2009,34011.32,1.721
103,银湖豪庭,深圳市南山区科苑路29号,南山,粤海,粤海,505,148.90815264924865,113.942448,22.529059,OK,commodity_housing,10368,2011,33935.61,1.884
104,玉泉公馆,深圳市南山区科苑路17号,南山,粤海,粤海,2635,236.47747132713803,113.938602,22.53472,OK,high_end,9981,2018,111429.88,1.271
105,宝安苑,深圳市南山区深圳湾口岸190号,南山,粤海,粤海,962,138.6674874224807,113.923467,22.535811,OK,commodity_housing,9136,2014,69427.39,1.544
106,瑞景邸,深圳市南山区科苑路29号,南山,粤海,粤海,1146,122.22064766264717,113.933694,22.527844,OK,commodity_housing,8941,2016,93803.36,1.25
107,盛世居,深圳市南山区深圳湾口岸56号,南山,粤海,粤海,984,145.57808175273306,113.928794,22.53318,OK,commodity_housing,4333,2014,67605.04,1.598
108,雅居家园,深圳市南山区高新南一道154号,南山,粤海,粤海,1529,146.86654189064353,113.935191,22.528852,OK,commodity_housing,4762,2015,104152.97,1.708
109,锦绣名苑,深圳市南山区深圳湾口岸108号,南山,粤海,粤海,871,137.33716223719398,113.925483,22.529554,OK,commodity_housing,4639,2013,63482.73,1.348
110,绿景邸,深圳市南山区深圳湾口岸17号,南山,粤海,粤海,808,144.211950282357,113.932405,22.520835,OK,commodity_housing,9667,2019,56097.39,1.255
111,振业小区,深圳市南山区前海路143号,南山,南山,南山,134,47.584095315900626,113.927336,22.526982,OK,urban_village,4150,2005,28241.9,1.188
112,金成苑,深圳市南山区南新路86号,南山,南山,南山,154,149.95474496960844,113.917603,22.528936,OK,commodity_housing,2046,2007,10296.6,0.953
113,星海园,深圳市南山区学府路146号,南山,南山,南山,210,46.55106627473283,113.918644,22.529622,OK,urban_village,10407,1999,45165.96,0.885
114,金地居,深圳市南山区学府路37号,南山,南山,南山,306,113.67433186908605,113.903961,22.528008,OK,commodity_housing,3182,2005,26964.26,0.999
115,华润新区,深圳市南山区桂庙路170号,南山,南山,南山,86,38.004202746968296,113.908472,22.528166,OK,urban_village,9040,2001,22707.82,1.132
116,中海家园,深圳市南山区学府路123号,南山,南山,南山,61,34.59909724799314,113.924562,22.523573,OK,urban_village,5641,2000,17856.39,0.711
117,万科大厦,深圳市南山区前海路133号,南山,南山,南山,646,109.24367475171337,113.925715,22.5299,OK,commodity_housing,3771,2013,59172.34,1.061
118,招商村,深圳市南山区南头街181号,南山,南山,南山,67,39.72771336177237,113.917992,22.529927,OK,urban_village,3565,1999,17030.09,1.029
119,华侨城花园,深圳市南山区学府路62号,南山,南山,南山,79,46.97795768905412,113.927383,22.529275,OK,urban_village,4228,1998,16852.63,0.851
120,花样年小区,深圳市南山区桂庙路110号,南山,南山,南山,251,125.4752654294658,113.915219,22.527597,OK,commodity_housing,6867,2001,20046.93,1.452
121,佳兆业苑,深圳市南山区南新路61号,南山,南山,南山,846,144.9426598236649,113.918471,22.533855,OK,commodity_housing,2053,2004,58393.34,1.13
122,龙光园,深圳市南山区桂庙路120号,南山,南山,南山,672,112.43665237509339,113.917272,22.541312,OK,commodity_housing,4109,2004,59809.46,1.138
123,卓越居,深圳市南山区学府路153号,南山,南山,南山,321,113.36737798312578,113.91799,22.529233,OK,commodity_housing,3640,1998,28340.83,0.764
124,华联新区,深圳市南山区南新路146号,南山,南山,南山,40,42.39285732124375,113.918467,22.529376,OK,urban_village,3354,2003,9648.72,0.603
125,天悦家园,深圳市南山区学府路80号,南山,南山,南山,105,43.347747973842544,113.922229,22.532361,OK,urban_village,3991,2006,24265.17,1.119
126,龙瑞大厦,深圳市南山区学府路166号,南山,南山,南山,29,27.6458523457146,113.90782,22.514299,OK,urban_village,4104,2002,10638.14,1.114
127,阳光村,深圳市南山区桂庙路12号,南山,南山,南山,58,38.904543375993924,113.925228,22.547999,OK,urban_village,8906,2001,15002.91,0.601
128,翠湖花园,深圳市南山区前海路192号,南山,南山,南山,579,98.18625067449119,113.92431,22.530253,OK,commodity_housing,3690,2003,59021.68,0.979
129,碧海小区,深圳市南山区前海路148号,南山,南山,南山,356,87.17568095934755,113.901382,22.525735,OK,commodity_housing,3435,2007,40896.34,1.16
130,金湾苑,深圳市南山区学府路50号,南山,南山,南山,83,26.44801151396996,113.917432,22.52862,OK,urban_village,3440,2001,31465.39,0.884
131,银湖园,深圳市南山区学府路58号,南山,南山,南山,384,137.50590631852086,113.932845,22.52908,OK,commodity_housing,4428,2000,27947.84,0.639
132,玉泉居,深圳市南山区桂庙路157号,南山,南山,南山,798,139.79468421230962,113.921497,22.530023,OK,commodity_housing,5356,2004,57103.79,0.661
133,宝安新区,深圳市南山区桂庙路187号,南山,南山,南山,179,43.28175167434214,113.91247,22.547632,OK,urban_village,8058,2007,41534.28,0.82
134,瑞景家园,深圳市南山区南头街25号,南山,南山,南山,66,30.327617600627082,113.934308,22.526303,OK,urban_village,8026,2007,21877.62,0.738
135,盛世大厦,深圳市南山区南新路199号,南山,南山,南山,712,133.96452912508363,113.915294,22.517919,OK,commodity_housing,2984,2004,53168.4,1.011
136,雅居村,深圳市南山区南头街126号,南山,南山,南山,125,37.03805878781375,113.915974,22.527943,OK,urban_village,8055,2002,33995.7,1.519
137,锦绣花园,深圳市南山区桂庙路72号,南山,南山,南山,275,110.32727242801589,113.914271,22.521299,OK,commodity_housing,7109,2000,24948.12,1.269
138,绿景小区,深圳市南山区南头街33号,南山,南山,南山,739,125.98887002951452,113.903399,22.533302,OK,commodity_housing,3389,2000,58684.39,1.114
139,振业苑,深圳市南山区前海路161号,南山,南山,南山,89,40.45389335795298,113.937095,22.524145,OK,urban_village,9131,1998,22017.39,0.899
140,金成园,深圳市南山区桂庙路116号,南山,南山,南山,306,85.77559741082949,113.9178,22.529921,OK,commodity_housing,2001,2002,35780.59,1.13
141,星海居,深圳市南山区学府路61号,南山,南山,南山,160,87.31974882340802,113.913559,22.535522,OK,commodity_housing,6238,2009,18407.81,0.767
142,金地新区,深圳市南山区南新路92号,南山,南山,南山,138,129.63423636156415,113.917812,22.529331,OK,commodity_housing,5144,2005,10702.51,0.925
143,华润家园,深圳市南山区南头街188号,南山,南山,南山,106,41.08944237991312,113.920385,22.522923,OK,urban_village,2607,2011,25847.83,0.871
144,中海大厦,深圳市南山区学府路55号,南山,南山,南山,514,123.101941535957,113.917793,22.528216,OK,commodity_housing,4134,2001,41815.3,0.888
145,万科村,深圳市南山区南头街59号,南山,南山,南山,16,33.307865633877725,113.901912,22.53305,OK,urban_village,2706,2005,5093.23,1.086
146,招商花园,深圳市南山区桂庙路159号,南山,南山,南山,35,29.35483341445634,113.915427,22.526443,OK,urban_village,8636,2007,11955.95,1.536
147,华侨城小区,深圳市南山区南新路117号,南山,南山,南山,77,39.70145945225198,113.901921,22.539386,OK,urban_village,9075,1997,19580.13,1.022
148,花样年苑,深圳市南山区桂庙路143号,南山,南山,南山,39,36.645320175506214,113.907436,22.53814,OK,urban_village,3794,1996,10915.35,0.962
149,佳兆业园,深圳市南山区南头街84号,南山,南山,南山,332,108.35145593562251,113.919522,22.547004,OK,commodity_housing,5052,2003,30732.6,0.658
150,龙光居,深圳市南山区前海路45号,南山,南山,南山,59,44.33682814216502,113.914999,22.528016,OK,urban_village,10619,2001,13461.5,1.23
151,卓越新区,深圳市南山区前海路1号,南山,南山,南山,188,121.15190597772708,113.91842,22.535146,OK,commodity_housing,6957,1993,15579.34,0.87
152,华联家园,深圳市南山区南头街120号,南山,南山,南山,463,117.34583477097868,113.917874,22.537903,OK,commodity_housing,5192,2003,39487.98,0.814
153,天悦大厦,深圳市南山区桂庙路1号,南山,南山,南山,35,48.41514230737404,113.922413,22.517902,OK,urban_village,4339,2009,7236.82,0.919
154,龙瑞村,深圳市南山区桂庙路43号,南山,南山,南山,38,28.70858002405222,113.925161,22.536906,OK,urban_village,7578,2012,13530.47,0.625
155,阳光花园,深圳市南山区桂庙路52号,南山,南山,南山,46,28.14353779516622,113.925067,22.530775,OK,urban_village,9038,2001,16557.69,0.919
156,翠湖小区,深圳市南山区桂庙路86号,南山,南山,南山,73,36.09375548261428,113.916753,22.525738,OK,urban_village,9575,2007,20274.19,1.004
157,碧海苑,深圳市南山区学府路72号,南山,南山,南山,65,44.21298411309478,113.917515,22.544548,OK,urban_village,8657,2003,14806.47,1.119
158,金湾园,深圳市南山区南头街161号,南山,南山,南山,72,28.98218613107013,113.923701,22.51061,OK,urban_village,5524,2004,25122.62,0.809
159,银湖居,深圳市南山区南新路82号,南山,南山,南山,112,41.68983463908962,113.902028,22.540577,OK,urban_village,9514,2001,26952.54,0.947
160,玉泉新区,深圳市南山区南头街76号,南山,南山,南山,41,33.20953069712703,113.923023,22.525156,OK,urban_village,7850,2000,12347.63,0.989
161,宝安家园,深圳市南山区南新路194号,南山,南山,南山,45,40.086214834534445,113.908441,22.522109,OK,urban_village,11327,1998,11337.36,0.796
162,瑞景大厦,深圳市南山区南头街12号,南山,南山,南山,712,136.96364018237105,113.909864,22.5319,OK,commodity_housing,4863,1993,52052.7,1.185
163,盛世村,深圳市南山区桂庙路151号,南山,南山,南山,93,38.03085331213336,113.924869,22.53933,OK,urban_village,11535,2012,24627.31,1.029
164,雅居花园,深圳市南山区桂庙路19号,南山,南山,南山,108,29.928853164321936,113.900105,22.538303,OK,urban_village,7643,2005,36161.71,0.97
165,锦绣小区,深圳市南山区前海路158号,南山,南山,南山,506,101.79153894092025,113.926591,22.53636,OK,commodity_housing,3692,2011,49757.35,0.923
166,绿景苑,深圳市南山区南新路39号,南山,南山,南山,183,127.6782497775488,113.916734,22.524137,OK,commodity_housing,4137,2003,14338.08,0.709
167,振业园,深圳市南山区南头街172号,南山,南山,南山,792,136.41947848426108,113.902596,22.527544,OK,commodity_housing,7047,2000,58072.2,0.978
168,金成居,深圳市南山区南头街15号,南山,南山,南山,85,30.701994298723314,113.931414,22.533753,OK,urban_village,8684,2004,27875.58,1.131
169,星海新区,深圳市南山区前海路167号,南山,南山,南山,63,45.56535796284196,113.911068,22.524193,OK,urban_village,3472,2003,14024.25,0.919
170,金地家园,深圳市南山区前海路161号,南山,南山,南山,289,96.46649093613894,113.916959,22.528174,OK,commodity_housing,5040,2003,30045.13,0.692
171,华润大厦,深圳市南山区南头街2号,南山,南山,南山,243,121.61334346303212,113.918437,22.53206,OK,commodity_housing,3546,1998,20061.25,0.835
172,中海村,深圳市南山区学府路24号,南山,南山,南山,405,130.71617959790328,113.915983,22.542979,OK,commodity_housing,5906,1999,31021.28,0.878
173,万科花园,深圳市南山区南头街136号,南山,南山,南山,265,121.70255097322698,113.919585,22.531654,OK,commodity_housing,7101,2005,21774.56,0.987
174,招商小区,深圳市南山区桂庙路8号,南山,南山,南山,59,26.748290142735854,113.912932,22.535608,OK,urban_village,3107,2001,22197.68,0.968
175,华侨城苑,深圳市南山区南头街35号,南山,南山,南山,540,126.3287432894565,113.928443,22.520203,OK,commodity_housing,2341,2001,42813.32,1.196
176,花样年园,深圳市南山区南头街55号,南山,南山,南山,343,92.27120596503617,113.916759,22.519841,OK,commodity_housing,2661,1996,37239.43,1.175
177,佳兆业居,深圳市南山区前海路65号,南山,南山,南山,52,48.17502419810738,113.915927,22.529525,OK,urban_village,9846,1992,10821.41,1.195
178,龙光新区,深圳市南山区前海路142号,南山,南山,南山,651,137.824734117677,113.924264,22.520402,OK,commodity_housing,6551,2000,47274.06,0.677
179,卓越家园,深圳市南山区学府路150号,南山,南山,南山,47,40.01485833401543,113.921696,22.53337,OK,urban_village,4896,1999,11907.58,0.868
180,华联大厦,深圳市南山区学府路158号,南山,南山,南山,65,45.43624271227979,113.896176,22.530416,OK,urban_village,10835,2001,14420.16,0.901
