id,housetitle,address,quxian,shangquan,sqpinyin,money,lng,lat,geocode_status
44,御景湾,深圳新安六路与创业路交汇处,宝安,宝安中心区,baoanzhongxinqu,40015,,,ERR:HTTP Error 429: Too 
45,福中福商业城,深圳新湖大道与新安大道交汇处,宝安,宝安中心区,baoanzhongxinqu,24858,,,ERR:HTTP Error 429: Too 
46,海滨城广场,深圳46区翻身路与裕安一路交汇处,宝安,宝安中心区,baoanzhongxinqu,31097,,,ERR:HTTP Error 429: Too 
47,风临洲,深圳宝安大道与创业一路汇处,宝安,宝安中心区,baoanzhongxinqu,41008,,,ERR:HTTP Error 429: Too 
48,洪福雅园,深圳创业大道与翻身大道交汇处,宝安,宝安中心区,baoanzhongxinqu,28878,,,ERR:HTTP Error 429: Too 
49,里仁府,深圳宝安大道2118号,宝安,宝安中心区,baoanzhongxinqu,30368,,,ERR:HTTP Error 429: Too 
50,新锦安雅园三期,深圳38区宝安大道与新湖路交汇处,宝安,宝安中心区,baoanzhongxinqu,36633,,,ERR:HTTP Error 429: Too 
51,海韵花园,深圳翻身路与裕安一路交汇处,宝安,宝安中心区,baoanzhongxinqu,29063,,,ERR:HTTP Error 429: Too 
52,海云轩,深圳宝安区宝安大道1168号,宝安,宝安中心区,baoanzhongxinqu,32259,,,ERR:HTTP Error 429: Too 
53,金成名苑,深圳宝安区48区翻身大道与宝安大道交汇处,宝安,宝安中心区,baoanzhongxinqu,29933,,,ERR:HTTP Error 429: Too 
54,金汇名园,深圳宝城41区翻身大道与甲岸路之交汇处,宝安,宝安中心区,baoanzhongxinqu,28015,,,ERR:HTTP Error 429: Too 
55,泰安花园,深圳宝安上川路宝城48区,宝安,宝安中心区,baoanzhongxinqu,24469,,,ERR:HTTP Error 429: Too 
56,宝兴花园,深圳宝安81区宝民二路,宝安,宝安中心区,baoanzhongxinqu,18341,,,ERR:HTTP Error 429: Too 
57,佳华纽约客,深圳中心区新湖路与玉律路交汇处西北角(新湖路华美居A区西侧),宝安,宝安中心区,baoanzhongxinqu,43988,,,ERR:HTTP Error 429: Too 
58,品尚居,深圳宝安34区宝民一路与上川路交界处(弘雅小学旁),宝安,宝安中心区,baoanzhongxinqu,38269,,,ERR:HTTP Error 429: Too 
59,石鸿花园,深圳宝安区宝安40区翻身路63号,宝安,宝安中心区,baoanzhongxinqu,26442,,,ERR:HTTP Error 429: Too 
60,富通苑,深圳宝安48区上川一路与宝安大道交汇处,宝安,宝安中心区,baoanzhongxinqu,29181,,,ERR:HTTP Error 429: Too 
61,金鼎花园,深圳宝城四十一区翻身路,宝安,宝安中心区,baoanzhongxinqu,23038,,,ERR:HTTP Error 429: Too 
62,新源花园,深圳宝安西乡大道侧宝源路交汇处,宝安,宝安中心区,baoanzhongxinqu,6686,,,ERR:HTTP Error 429: Too 
63,群贤花园,深圳宝安区宝城五十区,宝安,宝安中心区,baoanzhongxinqu,23384,,,ERR:HTTP Error 429: Too 
64,中海九号公馆别墅,深圳宝安尖岗山大道(广深高速宝安出口处),宝安,宝安中心区,baoanzhongxinqu,66658,,,ERR:HTTP Error 429: Too 
65,宝佳苑,深圳宝安47区翻身路,宝安,宝安中心区,baoanzhongxinqu,24789,,,ERR:HTTP Error 429: Too 
66,第五大道三期,深圳深圳市宝安中心区新安街道创业路与裕安西路交汇处,宝安,宝安中心区,baoanzhongxinqu,49932,,,ERR:HTTP Error 429: Too 
67,裕华花园,深圳49区翻身路新一佳商场旁富年华商场对面,宝安,宝安中心区,baoanzhongxinqu,21772,,,ERR:HTTP Error 429: Too 
68,深宝花园,深圳宝安区45区自由路与创业一路交汇处,宝安,宝安中心区,baoanzhongxinqu,21628,,,ERR:HTTP Error 429: Too 
69,富铭花园,深圳深圳宝安40区翻身路与新安一路交汇处,宝安,宝安中心区,baoanzhongxinqu,26480,,,ERR:HTTP Error 429: Too 
70,泰华苑,深圳宝安40区新安一路112号,宝安,宝安中心区,baoanzhongxinqu,33544,,,ERR:HTTP Error 429: Too 
71,富通豪业华庭,深圳宝安中心区西南侧兴业路与海城路交汇,宝安,宝安中心区,baoanzhongxinqu,30581,,,ERR:HTTP Error 429: Too 
72,海滨城广场三期,深圳46区翻身路与裕安一路交汇处,宝安,宝安中心区,baoanzhongxinqu,41168,,,ERR:HTTP Error 429: Too 
73,宝新花园,深圳宝安44区创业路,宝安,宝安中心区,baoanzhongxinqu,26619,,,ERR:HTTP Error 429: Too 
74,金泓凯旋城二期,深圳宝安大道与新安路交汇处,宝安,宝安中心区,baoanzhongxinqu,52558,,,ERR:HTTP Error 429: Too 
75,兴业华庭,"深圳宝安48区翻身大道,翻身实验小学对面",宝安,宝安中心区,baoanzhongxinqu,28636,,,ERR:HTTP Error 429: Too 
76,富盛苑,深圳宝安中心区宝安大道翻身路,宝安,宝安中心区,baoanzhongxinqu,22662,,,ERR:HTTP Error 429: Too 
77,圣源华庭,深圳中心区宝源路与海城路交汇处,宝安,宝安中心区,baoanzhongxinqu,34377,,,ERR:HTTP Error 429: Too 
78,达海花园,深圳宝安新中心区新城大道新体育馆旁,宝安,宝安中心区,baoanzhongxinqu,31238,,,ERR:HTTP Error 429: Too 
79,富怡花园,深圳宝安43区翻身路,宝安,宝安中心区,baoanzhongxinqu,23965,,,ERR:HTTP Error 429: Too 
80,文乐花园,深圳45区翻身路,宝安,宝安中心区,baoanzhongxinqu,21279,,,ERR:HTTP Error 429: Too 
81,景富苑,深圳48区翻身路旁,宝安,宝安中心区,baoanzhongxinqu,28621,,,ERR:HTTP Error 429: Too 
82,榕江天御,深圳新中心区新湖路与兴华一路交汇处(宝安区行政中心附近),宝安,宝安中心区,baoanzhongxinqu,57946,,,ERR:HTTP Error 429: Too 
83,深业新岸线二期,深圳创业路与罗田路交汇处,宝安,宝安中心区,baoanzhongxinqu,46412,,,ERR:HTTP Error 429: Too 
84,万科兰乔圣菲,深圳宝安中心区兴华路,宝安,宝安中心区,baoanzhongxinqu,82353,,,ERR:HTTP Error 429: Too 
85,海滨中学教师公寓,深圳宝安41区兴华一路,宝安,宝安中心区,baoanzhongxinqu,6841,,,ERR:HTTP Error 429: Too 
86,富通好旺角二期,深圳新城大道与创业路交汇处,宝安,宝安中心区,baoanzhongxinqu,48837,,,ERR:HTTP Error 429: Too 
87,幸福海岸三期,深圳宝安玉律路南与创业路交汇处,宝安,宝安中心区,baoanzhongxinqu,53930,,,ERR:HTTP Error 429: Too 
88,豪城馨庭居,深圳宝安区新安街道新城大道与甲岸路交汇处,宝安,宝安中心区,baoanzhongxinqu,28397,,,ERR:HTTP Error 429: Too 
89,晶美花园,深圳37区湖滨路,宝安,宝安中心区,baoanzhongxinqu,32482,,,ERR:HTTP Error 429: Too 
90,石鸿融景园,深圳宝安大道与裕安二路交汇处,宝安,宝安中心区,baoanzhongxinqu,28985,,,ERR:HTTP Error 429: Too 
91,常盛花园,深圳宝安43区创业路,宝安,宝安中心区,baoanzhongxinqu,18643,,,ERR:HTTP Error 429: Too 
92,滨海大厦,深圳兴华路与宝兴路交汇处区政府西南侧,宝安,宝安中心区,baoanzhongxinqu,47409,,,ERR:HTTP Error 429: Too 
93,汇宝苑,深圳宝安区翻身路48区,宝安,宝安中心区,baoanzhongxinqu,27615,,,ERR:HTTP Error 429: Too 
94,庆华花园,深圳宝安区宝城42区,宝安,宝安中心区,baoanzhongxinqu,25007,,,ERR:HTTP Error 429: Too 
95,海滨城广场二期,深圳宝安大道与裕安一路交汇处,宝安,宝安中心区,baoanzhongxinqu,30759,,,ERR:HTTP Error 429: Too 
96,安乐村,深圳宝安安乐街安乐村,宝安,宝安中心区,baoanzhongxinqu,4986,,,ERR:HTTP Error 429: Too 
97,碧涛阁,深圳宝城四十八区,宝安,宝安中心区,baoanzhongxinqu,26262,,,ERR:HTTP Error 429: Too 
98,麻布村,深圳海城路与海湾路交汇处,宝安,宝安中心区,baoanzhongxinqu,4866,,,ERR:HTTP Error 429: Too 
99,威文大厦,"深圳48区,上川路与翻身大道交汇处",宝安,宝安中心区,baoanzhongxinqu,24788,,,ERR:HTTP Error 429: Too 
100,富源商贸中心,深圳创业路与宝安44区翻身大道交汇处,宝安,宝安中心区,baoanzhongxinqu,29538,,,ERR:HTTP Error 429: Too 
101,宝海花园,深圳宝安39区翻身路,宝安,宝安中心区,baoanzhongxinqu,25011,,,ERR:HTTP Error 429: Too 
102,碧海花园,深圳宝安区安乐三街212,宝安,宝安中心区,baoanzhongxinqu,31125,,,ERR:HTTP Error 429: Too 
103,创业电子城,深圳前进一路与创业二路交汇处,宝安,宝安中心区,baoanzhongxinqu,9385,,,ERR:HTTP Error 429: Too 
104,前海华侨城大酒店·华寓,深圳宝兴路和海天路交汇处,宝安,宝安中心区,baoanzhongxinqu,91730,,,ERR:HTTP Error 429: Too 
105,深业U中心,深圳鹤洲洲石路北二路,宝安,宝安中心区,baoanzhongxinqu,19690,,,ERR:HTTP Error 429: Too 
106,高发第五大道商铺,深圳宝安罗田路与创业路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
107,新秀苑,深圳宝城五十区为国路4号,宝安,宝安中心区,baoanzhongxinqu,9751,,,ERR:HTTP Error 429: Too 
108,中海九号公馆,深圳宝安尖岗山大道(广深高速宝安出口处),宝安,宝安中心区,baoanzhongxinqu,53573,,,ERR:HTTP Error 429: Too 
109,欣荣苑,深圳宝安区48区上川路和翻身路的交汇,宝安,宝安中心区,baoanzhongxinqu,23618,,,ERR:HTTP Error 429: Too 
110,富佳苑,深圳48区翻身路,宝安,宝安中心区,baoanzhongxinqu,27796,,,ERR:HTTP Error 429: Too 
111,深业新岸线商铺,深圳宝安区新安街道新安大道东南侧,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
112,鸿荣源尚都商铺,深圳宝安新中心区新湖路与裕安一路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
113,天悦龙庭商铺,深圳宝安中心区新湖路与裕安一路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
114,熙龙湾商铺,深圳新湖路与兴华一路交汇处向南500米,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
115,金景豪苑,深圳新城大道与裕安二路交汇处,宝安,宝安中心区,baoanzhongxinqu,25567,,,ERR:HTTP Error 429: Too 
116,万骏经贸大厦,深圳宝安中心区新安街道宝兴路西侧,宝安,宝安中心区,baoanzhongxinqu,48788,,,ERR:HTTP Error 429: Too 
117,新安园,深圳宝安区宝城48区,宝安,宝安中心区,baoanzhongxinqu,24898,,,ERR:HTTP Error 429: Too 
118,幸福海岸二期商铺,深圳中心区新湖路与罗田路交汇处(体育馆西南侧),宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
119,泰丰大厦(财富中心),深圳宝安创业二路与前进一路交汇处,宝安,宝安中心区,baoanzhongxinqu,28934,,,ERR:HTTP Error 429: Too 
120,宝安海滨广场,深圳宝城四十六区,宝安,宝安中心区,baoanzhongxinqu,20265,,,ERR:HTTP Error 429: Too 
121,润恒御园,深圳新安街道罗田路与金科路交汇处(宝安区体育中心旁),宝安,宝安中心区,baoanzhongxinqu,76089,,,ERR:HTTP Error 429: Too 
122,新锦安雅园二期,深圳翻身大道与龙井路的交汇东,宝安,宝安中心区,baoanzhongxinqu,37914,,,ERR:HTTP Error 429: Too 
123,华海澜湾,深圳宝源路与海城路交汇处(地铁1号线坪洲站附近),宝安,宝安中心区,baoanzhongxinqu,36963,,,ERR:HTTP Error 429: Too 
124,中怡名苑,深圳宝安区翻身路40区,宝安,宝安中心区,baoanzhongxinqu,30392,,,ERR:HTTP Error 429: Too 
125,富源商贸中心商铺,深圳创业路与宝安44区翻身大道交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
126,金鼎花园商铺,深圳宝城四十一区翻身路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
127,新乐花园,深圳新安一路与翻身路的交叉口,宝安,宝安中心区,baoanzhongxinqu,20432,,,ERR:HTTP Error 429: Too 
128,金成时代商铺,深圳宝安大道与罗田路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
129,龙光世纪大厦,深圳宝安宝华路与兴华路交汇处(区政府东南面),宝安,宝安中心区,baoanzhongxinqu,65350,,,ERR:HTTP Error 429: Too 
130,常福楼,深圳宝安37区翻身路与新安一路交汇点,宝安,宝安中心区,baoanzhongxinqu,20008,,,ERR:HTTP Error 429: Too 
131,华夏楼,深圳宝安区7区宝民一路,宝安,宝安中心区,baoanzhongxinqu,8100,,,ERR:HTTP Error 429: Too 
132,荣超滨海大厦商铺,深圳政府西南侧(兴华路与宝兴路交汇处),宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
133,壹方中心玖誉,"深圳前海中心区地铁1、5号线交汇处,宝安区政府旁",宝安,宝安中心区,baoanzhongxinqu,76146,,,ERR:HTTP Error 429: Too 
134,卡罗社区商铺,深圳宝安区宝安大道与裕安一路交汇处万科大门口,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
135,宏发中心大厦,深圳宝安新中心区创业路与新湖路交汇处东面,宝安,宝安中心区,baoanzhongxinqu,45179,,,ERR:HTTP Error 429: Too 
136,华滨大厦,深圳深圳宝安翻身47区新安街道上川西路西北侧,宝安,宝安中心区,baoanzhongxinqu,15295,,,ERR:HTTP Error 429: Too 
137,龙光世纪大厦商铺,深圳深圳市宝安中心区兴华路南侧,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
138,幸福海岸一期商铺,深圳宝安新中心区玉律路南与创业路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
139,华翔居,深圳宝安区47区上川路海滨市场附近,宝安,宝安中心区,baoanzhongxinqu,17174,,,ERR:HTTP Error 429: Too 
140,碧海名苑,深圳宝安中心区西乡客运站旁,宝安,宝安中心区,baoanzhongxinqu,18395,,,ERR:HTTP Error 429: Too 
141,财富港写字楼,深圳西乡宝源路与海城路交汇处(西乡人民医院旁),宝安,宝安中心区,baoanzhongxinqu,33828,,,ERR:HTTP Error 429: Too 
142,新锦安雅园商铺,深圳宝安38区翻身路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
143,福中福商业城商铺,深圳宝安新湖大道与新安大道交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
144,富通好旺角商铺,深圳宝安大道与创业一路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
145,名门华府,深圳中心区罗田路与明玉路交汇处东北侧,宝安,宝安中心区,baoanzhongxinqu,32694,,,ERR:HTTP Error 429: Too 
146,天健时尚空间商铺,深圳深圳市宝安中心区兴华路与兴华一路交汇处东北侧,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
147,风临洲商铺,深圳宝安大道与裕安一路汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
148,豪城馨庭居商铺,深圳宝安区新安街道新城大道与甲岸路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
149,尚都新天地,深圳体育中心东南侧,宝安,宝安中心区,baoanzhongxinqu,71397,,,ERR:HTTP Error 429: Too 
150,福中福花园商铺,深圳新安大道与宝源路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
151,西城上筑商铺,深圳宝安区创业一路与宝安大道交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
152,保利海语西湾商铺,深圳宝安中心区新安六路与海滨大道交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
153,富通苑商铺,深圳宝安48区上川路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
154,尚都新天地商铺,深圳宝安体育中心东南侧,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
155,同富住宅楼,深圳宝安区新安六路与宝安大道交汇处,宝安,宝安中心区,baoanzhongxinqu,16257,,,ERR:HTTP Error 429: Too 
156,宝安海滨广场商铺,深圳宝城四十六区,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
157,宝安74区商铺,深圳宝安74区流塘路往宝安公园旁,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
158,宝安25区步行街商铺,深圳创业路与建安路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
159,海滨城广场商铺,深圳宝安46区翻身路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
160,洪福雅园商铺,深圳创业大道与翻身大道交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
161,金景豪苑商铺,深圳新城大道与裕安二路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
162,深业新岸线二期商铺,深圳中心区N17区宝安新中心区创业路与罗田路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
163,泰安花园商铺,深圳宝安上川路宝城48区,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
164,同富住宅楼商铺,深圳宝安区新安六路与宝安大道交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
165,威文大厦商铺,"深圳48区,上川路与翻身大道交汇处",宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
166,宝安赛格电子市场,深圳宝安中心区裕安路与新湖路交汇,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
167,宝安35区商铺,深圳宝安前进一路沃尔玛旁,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
168,宝安体育馆商铺,深圳深圳市宝安区新湖路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
169,广场大厦,深圳宝安宝民一路与创业路交汇处,宝安,宝安中心区,baoanzhongxinqu,25000,,,ERR:HTTP Error 429: Too 
170,鸿隆广场写字楼,深圳中心区新安路与西乡大道交汇处(80区107国道旁),宝安,宝安中心区,baoanzhongxinqu,33400,,,ERR:HTTP Error 429: Too 
171,宏发领域商铺,深圳宝安宝安中心区新湖路与创业路交汇东面,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
172,金成名苑商铺,深圳宝安区48区翻身大道与宝安大道交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
173,澎柏白金时代商铺,深圳宝安广场旁宝安汽车站宝民一路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
174,新锦安雅园三期商铺,深圳38区翻身路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
175,安乐新苑,深圳南头关口宝安大道(新城联检站旁),宝安,宝安中心区,baoanzhongxinqu,19990,,,ERR:HTTP Error 429: Too 
176,宝安商务大厦,"深圳宝安立交与宝安大道交界处,南头关附近",宝安,宝安中心区,baoanzhongxinqu,5497,,,ERR:HTTP Error 429: Too 
177,碧海花园商铺,深圳宝安区43区,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
178,宝佳苑商铺,深圳宝安47区翻身路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
179,富佳苑商铺,深圳宝安48区翻身路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
180,国际西岸商务大厦,深圳宝安中心区宝安区政府东侧、新湖路与兴华一路交汇处南行500米,宝安,宝安中心区,baoanzhongxinqu,11488,,,ERR:HTTP Error 429: Too 
181,金泓凯旋城商铺,深圳宝安新中心区宝安大道与新安西路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
182,金碧花园,深圳宝民二路与西乡大道交汇处,宝安,宝安中心区,baoanzhongxinqu,14989,,,ERR:HTTP Error 429: Too 
183,菁英趣庭商铺,深圳宝安大道与裕安路交汇处(体育馆东),宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
184,晶美花园商铺,深圳宝安37区湖滨路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
185,丽晶国际商铺,深圳宝安大道与创业一路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
186,理想居商铺,深圳48区翻身路与上川路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
187,泰华锦绣城商铺,"深圳宝安49区,翻身路与上川路交汇处",宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
188,欣荣苑商铺,深圳宝安区48区上川路和翻身路的交汇,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
189,御景湾商铺,深圳宝安中心区新安六路与创业路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
